ticket_id,customer_email,subject,message,created_at,status,channel
T-20016,sam.r@outlook.com,Quick question,How do I contact the driver? My number is 07700 900699.,1782227986000,closed,web_form
T-20017,harry_k51@icloud.com,Hello,"Hey team, Not bad. Wish there were more restaurants in my area.",1782356114000,open,email
T-20018,ruby.c@gmail.com,Quick question,can i pay with paypal? My number is 07700 900204.,1782370916000,open,email
T-20019,anna_z55@outlook.com,Cold food,"Missing items, again. Paid for 3, got 2. Do better Cheers.",1782371390000,closed,email
T-20020,ben_d60@gmail.com,Misc,It's fine. Does the job 😤,1782442425000,closed,web_form
T-20021,jake_e54@gmail.com,Quick question,How do I contact the driver?,1782447146000,pending,web_form
T-20022,arjun1984@yahoo.co.uk,Misc,Fine for what it is.,1782500088000,closed,email
T-20023,lucia_a27@hotmail.com,Quick question,Do you have a loyalty scheme?,1782518218000,open,chat
T-20024,emma1996@yahoo.co.uk,Delivery area question,How do I turn off marketing emails? 😩,1782551680000,closed,web_form
T-20024,emma1996@yahoo.co.uk,Delivery area question,How do I turn off marketing emails? 😩,1782551680000,closed,web_form
T-20025,rob1985@hotmail.com,Quick question,Can I tip after delivery? You can reach me on 07700 900264 or rob1985@hotmail.com.,1782585635000,pending,web_form
T-20026,dan1985@hotmail.com,How do I...,Can I order for pickup instead of delivery?,1782613657000,pending,web_form
T-20027,fatima_v34@proton.me,Delivery area question,How do I turn off marketing emails? Call me back on 07700 900355 please.,1782639999000,open,web_form
T-20028,leo_e82@hotmail.com,An idea for you,Not sure if anyone reads these but feature request: dark mode,1782658512000,open,web_form
T-20029,mia2004@icloud.com,Receipt is wrong,The tip I gave the rider has been taken twice from my card.,1782840500000,closed,chat
T-20030,kai_p69@gmail.com,Hello,Works well most of the time !! Call me back on 07700 900756 please.,1782894645000,closed,web_form
T-20031,keira.d@yahoo.co.uk,Question about my account,How do I turn off marketing emails?,1782902723000,closed,web_form
T-20032,mateo_v60@hotmail.com,Question about my account,Is there a student discount? Love the app otherwise...,1783016884000,pending,email
T-20033,maya1988@gmail.com,Wrong order delivered,"Late, cold, and missing the sauce. Great. Won't be ordering again.",1783078928000,closed,chat
T-20034,hugo_v37@proton.me,Question about my account,Can I order for pickup instead of delivery? !!,1783089930000,closed,email
T-20035,alfie1995@yahoo.co.uk,Quick question,How do I delete my account?,1783092757000,closed,chat
T-20036,yasmin.v@outlook.com,Feedback,Meh. It works.,1783177862000,pending,web_form
T-20037,luciax146@hotmail.com,Order cancelled,eta said 25 mins. took 54. Call me back on 07700 900505 please.,1783194331000,pending,chat
T-20038,anna_z55@outlook.com,Order cancelled,Wrong order delivered. Got someone's ramen instead of my sushi. Come on.,1783237963000,closed,email
T-20039,tarax393@icloud.com,Payment question,How do I turn off marketing emails?,1783287520000,closed,chat
T-20039,tarax393@icloud.com,Payment question,How do I turn off marketing emails?,1783287520000,closed,chat
T-20040,ravi_v73@yahoo.co.uk,Refund request: duplicate tip,Receipt says tip £2.50 and then tip £2.50 again. Total is wrong.,1783435010000,open,chat
T-20041,lucia.e@proton.me,Driver issue,Not sure if anyone reads these but taco Loco sent the wrong dish and nobody answers the chat. Won't be ordering again Anyone else? You can reach me on 07700 900346 or lucia.e@proton.me.,1783579925000,closed,chat
T-20042,arjun1981@outlook.com,Refund request: duplicate tip,Tip was added two times to my order total... Can you refund one? Call me back on 07700 900652 please.,1783609428000,closed,chat
T-20043,tom415@gmail.com,Delivery area question,Can I change my order after placing it?,1783655322000,pending,web_form
T-20044,fatima_k14@yahoo.co.uk,Suggestion for the app,Suggestion: collaborative orders where each person pays their share.,1783682771000,closed,web_form
T-20045,isla656@gmail.com,Quick question,How do I turn off marketing emails? Call me back on 07700 900206 please.,1783714821000,closed,email
T-20046,diego_p53@gmail.com,Group orders,FYI add a 'split with friends' option at checkout. I'd use it every week. Order was under diego_p53@gmail.com.,1783832999000,closed,web_form
T-20047,hannah_e7@yahoo.co.uk,Question about my account,Do you deliver to Manchester yet? You can reach me on 07700 900227 or hannah_e7@yahoo.co.uk.,1783838116000,pending,web_form
T-20048,oliver_c15@hotmail.com,Order cancelled,"Just so you know, missing items, again. Paid for 3, got 2. Not impressed. Order was under oliver_c15@hotmail.com.",1783840422000,closed,web_form
T-20049,leox183@gmail.com,Refund request,The refund for my missing items took 8 days. Won't be ordering again,1783872001000,closed,chat
T-20050,elena297@outlook.com,Payment question,Can I add a second card?,1783875660000,closed,email
T-20051,diego_804@hotmail.com,Missing items,Got half my order. Support gave me a £2 credit. Insulting. Not impressed Order was under diego_804@hotmail.com.,1783922583000,closed,chat
T-20052,hannah_p65@hotmail.com,Payment question,Can I add a second card? My number is 07700 900881.,1783933412000,closed,email
T-20052,hannah_p65@hotmail.com,Payment question,Can I add a second card? My number is 07700 900881.,1783933412000,closed,email
T-20053,arjun1981@outlook.com,Refund request: duplicate tip,Order total didn't match the receipt. The difference is exactly the tip amount.,1783943609000,pending,email
T-20054,sara.k@outlook.com,Delivery area question,how to change phone number,1783983527000,closed,email
T-20055,nadia1985@proton.me,Question about my account,How do I report a missing item? Thx Order was under nadia1985@proton.me.,1784014738000,closed,chat
T-20056,dev_c3@gmail.com,Delivery area question,Why is the service fee different at different restaurants?,1784038814000,open,chat
T-20057,callum_f61@icloud.com,Cold food,Got half my order. Support gave me a £2 credit. Insulting. Not impressed.,1784044464000,open,email
T-20058,emma1998@yahoo.co.uk,Refund request: duplicate tip,"Looking at my receipt, the tip line appears twice. Bank statement confirms I was charged the higher amount Anyone else? You can reach me on 07700 900173 or emma1998@yahoo.co.uk.",1784229851000,closed,chat
T-20059,jake.h@icloud.com,Quick question,How do I turn off marketing emails? You can reach me on 07700 900440 or jake.h@icloud.com.,1784308426000,open,email
T-20060,hannah_n1@gmail.com,Problem with the app since update,"entered the code from the email, it accepted it, but the price didn't change My number is 07700 900135.",1784325646000,closed,email
T-20061,adam1985@hotmail.com,Misc,"Decent app, a bit slow sometimes.",1784352657000,closed,email
T-20061,adam1985@hotmail.com,Misc,"Decent app, a bit slow sometimes.",1784352657000,closed,email
T-20062,hannah1989@icloud.com,Delivery area question,How do I turn off marketing emails? 😩 You can reach me on 07700 900302 or hannah1989@icloud.com.,1784368605000,closed,web_form
T-20062,hannah1989@icloud.com,Delivery area question,How do I turn off marketing emails? 😩 You can reach me on 07700 900302 or hannah1989@icloud.com.,1784368605000,closed,web_form
T-20063,ravix799@proton.me,Hello,Good app but the service fee keeps creeping up Sort it please.,1784450628000,closed,web_form
T-20064,mia_736@icloud.com,Driver issue,"Honestly, food arrived cold. 55 minutes for a 20 minute delivery. Sort it out. My number is 07700 900137.",1784511081000,closed,web_form
T-20065,ravi_c26@outlook.com,Driver issue,Wing Kings cancelled my order after 30 minutes of waiting... Do better.,1784537290000,closed,email
T-20066,zara_o83@hotmail.com,Feedback,"Okay app, delivery fees are a bit high.",1784593503000,open,web_form
T-20067,ruby1998@yahoo.co.uk,Tip charged twice,My receipt shows the driver tip twice. I tipped £3 once and was charged £6 Please look into it.,1784694993000,pending,web_form
T-20068,tara_h93@proton.me,Quick question,Can I add a second card?,1784779611000,pending,web_form
T-20069,lucia2004@hotmail.com,Delivery area question,Where do I find my receipts? 😩,1784798265000,pending,chat
T-20070,ethan.b@hotmail.com,Payment question,Does the app work abroad? Call me back on 07700 900605 please.,1784822250000,open,web_form
T-20071,dan_j89@icloud.com,Bad experience,Got half my order. Support gave me a £2 credit. Insulting. Not impressed.,1784863628000,pending,chat
T-20072,callum_s30@gmail.com,Suggestion for the app,Other apps let you split payment between cards. Would be great here too,1784885020000,pending,chat
T-20073,marcus.p@outlook.com,Misc,Right. 3 stars. Delivery fees add up.,1784904208000,closed,web_form
T-20074,tom.f@gmail.com,Refund request,Service fee plus delivery fee plus small order fee. It's getting silly. Refund please.,1784911222000,closed,web_form
T-20075,ruby_d77@proton.me,Wrong order delivered,Order was 49 minutes late with no updates. Won't be ordering again. You can reach me on 07700 900255 or ruby_d77@proton.me.,1784932710000,closed,email
T-20076,arjun1994@yahoo.co.uk,Payment question,Is there a student discount?,1784940810000,pending,web_form
T-20076,arjun1994@yahoo.co.uk,Payment question,Is there a student discount?,1784940810000,pending,web_form
T-20077,harry1996@hotmail.com,Tracking map frozen,Driver location stuck on the map. Shows him at the restaurant the entire time.,1784980802000,pending,web_form
T-20078,theo_b39@icloud.com,How do I...,Is there a student discount?,1785026182000,closed,web_form
T-20079,camille.r@proton.me,Wrong order delivered,Taco Loco cancelled my order after 30 minutes of waiting. Third time this month. My number is 07700 900945.,1785056809000,closed,web_form
T-20080,josh_e85@gmail.com,Delivery area question,Why is the service fee different at different restaurants? Please look into it. Call me back on 07700 900101 please.,1785197176000,closed,chat
T-20080,josh_e85@gmail.com,Delivery area question,Why is the service fee different at different restaurants? Please look into it. Call me back on 07700 900101 please.,1785197176000,closed,chat
T-20081,finn.s@gmail.com,Wrong order delivered,"Late, cold, and missing the sauce. Great. Won't be ordering again 😩 Call me back on 07700 900589 please.",1785231495000,open,chat
T-20082,yuki1992@gmail.com,How do I...,Do you deliver to Manchester yet?,1785289421000,pending,web_form
T-20083,zara_m82@hotmail.com,Payment question,Why is the service fee different at different restaurants?,1785327986000,open,web_form
T-20084,emma1989@proton.me,Wrong order delivered,Curry Leaf cancelled my order after 30 minutes of waiting. Sort it out,1785364450000,closed,email
T-20085,harry702@icloud.com,Quick question,How do I cancel an order I just placed?,1785377485000,open,chat
T-20086,george1990@hotmail.com,How do I...,How do I delete my account? My number is 07700 900336.,1785390197000,closed,chat
T-20087,kenjix537@proton.me,Quick question,how do i change my default address? My number is 07700 900907.,1785406155000,closed,web_form
T-20087,kenjix537@proton.me,Quick question,how do i change my default address? My number is 07700 900907.,1785406155000,closed,web_form
T-20088,max_o71@gmail.com,Dark mode,Night mode would be nice.,1785445865000,closed,chat
T-20089,luke1991@gmail.com,Suggestion for the app,Can we get a dark option in settings? My eyes at midnight would thank you.,1785459294000,closed,web_form
T-20090,hannah_z73@proton.me,Payment question,Is there a student discount? You can reach me on 07700 900536 or hannah_z73@proton.me.,1785472443000,closed,web_form
T-20091,kai_b63@hotmail.com,Order cancelled,Waited 91 minutes then got a 'restaurant is busy' cancellation. My number is 07700 900367.,1785472628000,open,chat
T-20092,camille_575@icloud.com,Delivery area question,How do I cancel an order I just placed?,1785557453000,pending,email
T-20093,omar1993@yahoo.co.uk,Delivery area question,Can I order for pickup instead of delivery? You can reach me on 07700 900515 or omar1993@yahoo.co.uk.,1785570359000,open,email
T-20094,pierre.n@icloud.com,Delivery area question,how do i contact the driver? !!,1785570936000,closed,email
T-20095,adam.e@gmail.com,Quick question,Why is teh service fee different at different restaurants? Call me back on 07700 900382 please.,1785571040000,open,email
T-20096,kenji621@hotmail.com,Hello,The restaurant's own website is cheaper.,1785584889000,open,web_form
T-20097,josh2005@hotmail.com,Quick question,Can I change my order after placing it? My number is 07700 900847.,1785636461000,open,chat
T-20098,fatima_g65@proton.me,Double tip on my order,Why was I charged the tip twice? This has happened on my last two orders Love the app otherwise.,1785647612000,closed,web_form
T-20099,kenji_342@proton.me,Quick question,Do you deliver to Manchester yet?,1785803791000,closed,email
T-20100,rob_v6@icloud.com,Late delivery,Got half my order. Support gave me a £2 credit. Insulting. Third time this month.,1785836615000,closed,chat
T-20101,amara_t2@hotmail.com,Missing items,Driver left the food at the wrong building. Do better !! You can reach me on 07700 900238 or amara_t2@hotmail.com.,1785957676000,closed,email
T-20102,mia87@gmail.com,Delivery area question,Is there a student discount?,1786059612000,pending,email
T-20103,lucia1995@icloud.com,Refund request,"Late, cold, and missing the sauce. Great. Disappointed. Order was under lucia1995@icloud.com.",1786105699000,pending,web_form
T-20104,kenji_t30@gmail.com,Question about my account,Does the app work abroad? My number is 07700 900554.,1786170864000,open,email
T-20105,arjun2004@icloud.com,Question about my account,how to change phone number,1786192598000,open,email
T-20106,sara.z@outlook.com,Payment failed at checkout,Voucher code applied then vanished at checkout. Call me back on 07700 900928 please.,1786214364000,pending,email
T-20107,noah_f35@proton.me,Question about my account,Can I add a second card? Order was under noah_f35@proton.me.,1786223806000,closed,email
T-20107,noah_f35@proton.me,Question about my account,Can I add a second card? Order was under noah_f35@proton.me.,1786223806000,closed,email
T-20108,mateo2002@gmail.com,Payment question,Why is the service fee different at different restaurants? Love the app otherwise. My number is 07700 900253.,1786295677000,closed,chat
T-20108,mateo2002@gmail.com,Payment question,Why is the service fee different at different restaurants? Love the app otherwise. My number is 07700 900253.,1786295677000,closed,chat
T-20109,nina204@yahoo.co.uk,Hello,Good app but the service fee keeps creeping up.,1786318061000,open,chat
T-20110,sara1993@yahoo.co.uk,Delivery area question,Can I pay with PayPal?,1786330457000,pending,email
T-20111,kai.n@yahoo.co.uk,Question about my account,Do you have a loyalty scheme? Thx,1786359700000,pending,web_form
T-20112,harry2004@gmail.com,Misc,It's fine. Does the job. You can reach me on 07700 900326 or harry2004@gmail.com.,1786368502000,pending,email
T-20113,george.w@proton.me,Feedback,Fine for what it is 😤 Order was under george.w@proton.me.,1786474908000,open,chat
T-20114,freya.t@outlook.com,Hello,Meh. It works. Order was under freya.t@outlook.com.,1786477481000,closed,email
T-20115,aisha2001@gmail.com,Order cancelled,Waited 58 minutes then got a 'restaurant is busy' cancellation. Disappointed. Order was under aisha2001@gmail.com.,1786541372000,closed,chat
T-20116,hannah_z56@proton.me,Would love this feature,Office lunch orders would be so much easier with a group order link.,1786577942000,open,chat
T-20117,marcus_i69@icloud.com,Question about my account,How do I contact the driver?,1786609253000,pending,web_form
T-20118,freya159@icloud.com,Promo code not applied,The login code never arrives by SMS. Had to try 4 times. My number is 07700 900564.,1786677148000,open,chat
T-20119,adam707@hotmail.com,Suggestion for the app,Split the bill feature would be amazing Sort it please.,1786810576000,closed,web_form
T-20120,layla969@outlook.com,Hello,Works well most of the time.,1786887334000,closed,email
T-20121,camille_575@icloud.com,Missing items,Driver left the food at the wrong building Thanks.,1786898614000,closed,email
T-20122,elena_w1@yahoo.co.uk,Payment question,How do I change my default address?,1787022848000,open,web_form
T-20123,sofia_b52@yahoo.co.uk,Quick question,Do you have a loyalty scheme? Order was under sofia_b52@yahoo.co.uk.,1787082685000,closed,chat
T-20123,sofia_b52@yahoo.co.uk,Quick question,Do you have a loyalty scheme? Order was under sofia_b52@yahoo.co.uk.,1787082685000,closed,chat
T-20124,diego_o41@hotmail.com,Late delivery,Delivery took over an hour and the noodles was soggy. Come on Thanks.,1787137957000,closed,email
T-20125,keira_167@gmail.com,How do I...,Can I add a second card?,1787154649000,closed,chat
T-20126,oliver1991@proton.me,Order never went through,ETA is a lie. Map never updates. My number is 07700 900617.,1787163675000,closed,email
T-20127,rosa2002@proton.me,Wrong order delivered,Food was cold and the drink was missing. Sort it out Love the app otherwise.,1787325462000,closed,chat
T-20128,leah1992@proton.me,Payment question,Can I change my order after placing it?,1787325936000,closed,email
T-20129,lukas_v8@yahoo.co.uk,Wrong order delivered,"so, the pie shop sent the wrong dish and nobody answers the chat. not impressed.",1787421476000,closed,web_form
T-20130,lucia1989@proton.me,Payment question,How do I report a missing item?,1787473419000,closed,email
T-20131,chloe.m@icloud.com,Quick question,Why is the service fee different at different restaurants?,1787534920000,pending,web_form
T-20132,max_l9@proton.me,Double tip on my order,Double tipped by accident? I only pressed the tip button once.,1787541017000,pending,web_form
T-20133,ravi_c33@outlook.com,Cold food,wrong order delivered. got someone's sushi instead of my greek. third time this month anyone else?,1787601230000,pending,chat
T-20134,fatima667@proton.me,Question about my account,Do you have a loyalty scheme?,1787638209000,open,email
T-20135,omar.m@icloud.com,Suggestion for the app,Would pay for a premium tier if it had group ordering. Order was under omar.m@icloud.com.,1787652892000,closed,web_form
T-20136,pierre_s74@icloud.com,Bad experience,"missing items, again. paid for 3, got 2. third time this month.",1787658953000,open,email
T-20137,ruby1998@yahoo.co.uk,Tip charged twice,"receipt shows 2 tips, i only left 1 😤",1787659890000,open,chat
T-20138,adam.z@gmail.com,Delivery area question,how to change phone number,1787738166000,open,chat
T-20139,nadia.o@outlook.com,Delivery area question,Is there a family account option? !!,1787788918000,closed,web_form
T-20140,anya_m17@outlook.com,Tip charged twice,Charged double tip on order PE-48213. Please look into it.,1787924061000,closed,web_form
T-20141,aaron_z74@hotmail.com,Question about my account,Can I tip after delivery?,1787933758000,closed,email
T-20142,dan.t@yahoo.co.uk,How do I...,Does the app work abroad? My number is 07700 900625.,1787942890000,open,web_form
T-20143,aisha1994@yahoo.co.uk,How do I...,Is there a family account option? Thanks.,1787960880000,closed,email
T-20144,meera.p@outlook.com,Delivery area question,How do I change my default address? Thx,1788102828000,closed,email
T-20145,emma1985@outlook.com,Feedback,"Decent app, a bit slow sometimes.",1788136770000,open,chat
T-20145,emma1985@outlook.com,Feedback,"Decent app, a bit slow sometimes.",1788136770000,open,chat
T-20146,will_z7@outlook.com,Misc,3 stars. Delivery fees add up.,1788169938000,open,chat
T-20146,will_z7@outlook.com,Misc,3 stars. Delivery fees add up.,1788169938000,open,chat
T-20147,grace_g37@outlook.com,Missing items,Fries were soggy and the burger was squashed. Won't be ordering again. My number is 07700 900642.,1788170336000,pending,email
T-20148,leo_w42@gmail.com,Cold food,"Hi, driver left the food at the wrong building. Sort it out Sort it please.",1788170611000,pending,chat
T-20149,sofia1981@gmail.com,Bad experience,pho 24 cancelled my order after 30 minutes of waiting... third time this month anyone else?,1788230973000,closed,email
T-20150,noah_e94@gmail.com,Payment question,How do I cancel an order I just placed? !!,1788246371000,closed,web_form
T-20151,ravix968@hotmail.com,How do I...,Can I change my order after placing it?,1788261961000,pending,chat
T-20151,ravix968@hotmail.com,How do I...,Can I change my order after placing it?,1788261961000,pending,chat
T-20152,ravi1988@outlook.com,Dark mode,it would be nice to invite friends to an order so everyone picks their own food Thx,1788291889000,open,email
T-20153,lukas2002@icloud.com,Cold food,Right. Got half my order. Support gave me a £2 credit. Insulting. Disappointed. Call me back on 07700 900427 please.,1788305832000,pending,web_form
T-20154,mia_v66@gmail.com,Order cancelled,"So, driver marked it delivered. It was not delivered. Third time this month. Order was under mia_v66@gmail.com.",1788306520000,pending,chat
T-20155,ella_o29@icloud.com,Refund request,driver marked it delivered. it was not delivered. come on.,1788310563000,pending,email
T-20156,leah2000@gmail.com,Misc,Not bad. Wish there were more restaurants in my area Anyone else?,1788327294000,closed,web_form
T-20157,hannah_m46@gmail.com,Question about my account,How do I turn off marketing emails?,1788334663000,closed,chat
T-20158,pierre_n42@hotmail.com,Can't place an order,"Got a code for free delivery, still paid delivery fee. Call me back on 07700 900156 please.",1788374818000,pending,web_form
T-20159,fatima2002@icloud.com,Cold food,food was cold and the drink was missing. Sort it out.,1788396596000,pending,web_form
T-20160,leah_c55@icloud.com,How do I...,Where do I find my receipts? Call me back on 07700 900764 please.,1788412844000,closed,chat
T-20161,sam.e@gmail.com,Question about my account,how to change phone number,1788451066000,open,chat
T-20162,layla1996@yahoo.co.uk,Refund request,Waited 86 minutes then got a 'restaurant is busy' cancellation. Disappointed.,1788463664000,pending,email
T-20162,layla1996@yahoo.co.uk,Refund request,Waited 86 minutes then got a 'restaurant is busy' cancellation. Disappointed.,1788463664000,pending,email
T-20163,hugo_p58@outlook.com,Driver issue,"Missing items, again... Paid for 3, got 2. Refund please",1788466107000,closed,web_form
T-20164,dan_861@icloud.com,Refund request,Quick one: Food was cold and the drink was missing. Come on Sort it please. Call me back on 07700 900122 please.,1788488362000,pending,email
T-20164,dan_861@icloud.com,Refund request,Quick one: Food was cold and the drink was missing. Come on Sort it please. Call me back on 07700 900122 please.,1788488362000,pending,email
T-20165,yasminx761@outlook.com,Refund request,"So, Order was 64 minutes late with no updates. Third time this month.",1788503989000,closed,chat
T-20166,josh2000@icloud.com,Wrong order delivered,second time my order has gone to the wrong address. Won't be ordering again.,1788521969000,open,chat
T-20167,lukas_i27@outlook.com,Double tip on my order,i think there is a bug with tips. selected 10% and the receipt shows it twice please look into it.,1788538443000,closed,web_form
T-20168,noah_f35@proton.me,Misc,FYI Good app but the service fee keeps creeping up.,1788546520000,closed,web_form
T-20169,mateo_s73@yahoo.co.uk,Quick question,how to change phone number,1788552048000,closed,email
T-20170,dev2001@proton.me,Missing items,Driver marked it delivered. It was not delivered. Not impressed Please look into it.,1788553203000,closed,email
T-20171,anna_988@yahoo.co.uk,Group orders,"Honestly, Please add group orders. My flatmates and I always order together and it's a nightmare working out who owes what.",1788566752000,closed,web_form
T-20172,ivy_828@hotmail.com,Quick question,How do I cancel an order I just placed? My number is 07700 900764.,1788613626000,closed,web_form
T-20173,layla.d@yahoo.co.uk,Delivery area question,How do I change my default address?,1788640425000,open,chat
T-20174,isla_v79@outlook.com,Wrong order delivered,The refund for my missing items took 8 days. Come on,1788659625000,closed,chat
T-20175,ivy_828@hotmail.com,Missing items,Poke Bros sent teh wrong dish and nobody answers the chat. Do better. Call me back on 07700 900735 please.,1788675606000,closed,web_form
T-20175,ivy_828@hotmail.com,Missing items,Poke Bros sent teh wrong dish and nobody answers the chat. Do better. Call me back on 07700 900735 please.,1788675606000,closed,web_form
T-20176,anya_p96@hotmail.com,Wrong order delivered,Driver was rude and basically threw the bag at the door...,1788680138000,pending,chat
T-20177,leo1986@gmail.com,Bad experience,"Late, cold, and missing the sauce. Great. Come on. My number is 07700 900904.",1788702292000,closed,chat
T-20178,tara2002@proton.me,Charged but no order,"Money taken, no food. Fix your app. You can reach me on 07700 900190 or tara2002@proton.me.",1788764400000,open,web_form
T-20179,diego_e1@yahoo.co.uk,Order cancelled,Delivery took over an hour and the pizza was cold. Do better,1788822808000,closed,web_form
T-20180,emma2000@outlook.com,Problem with the app since update,Tried to order three nights in a row. Payment failed every night. Deleting the app.,1788823800000,pending,web_form
T-20181,hugox423@gmail.com,Bad experience,Order was 56 minutes late with no updates. Won't be ordering again You can reach me on 07700 900690 or hugox423@gmail.com.,1788870902000,closed,chat
T-20182,yasmin.z@hotmail.com,Problem with the app since update,Went to pay for my order and the app crashed back to the home screen. Card was still charged Anyone else?,1788894600000,closed,email
T-20183,ravi.f@hotmail.com,Problem with the app since update,Love this app but the new version won't let me pay. my partner's phone is still on the old version and it works fine there.,1788927960000,open,web_form
T-20184,rosa_i65@gmail.com,Problem with the app since update,Not able to place orders. It fails on teh last screen every time.,1788938640000,open,chat
T-20185,kenji_t55@proton.me,Checkout error,"Great app, however quick one: After updating, every order fails at the final step. Cart works, address works, then boom, error 😩",1788951660000,open,chat
T-20186,dev_i14@icloud.com,Payment question,Can I pay with PayPal?,1788994413000,pending,chat
T-20187,priya10@yahoo.co.uk,Missing items,driver left the food at the wrong building. come on.,1789029501000,pending,chat
T-20188,marcus_v40@yahoo.co.uk,Delivery area question,Can I order for pickup instead of delivery?,1789042782000,closed,email
T-20189,anna_b20@hotmail.com,Bad experience,Fries were soggy and the burger was squashed. Disappointed Sort it please.,1789092264000,pending,email
T-20190,kenji.f@outlook.com,Can't place an order,the place order button does nothing anymore?? Please look into it.,1789099560000,pending,web_form
T-20191,luke_106@proton.me,Driver issue,Not sure if anyone reads these but Delivery took over an hour and teh sushi was lukewarm... Refund please Sort it please. Order was under luke_106@proton.me.,1789114262000,open,chat
T-20192,joshx299@outlook.com,Refund request,The refund for my missing items took 8 days. Won't be ordering again Thanks.,1789120042000,open,chat
T-20193,chloe_h99@hotmail.com,Order never went through,"Usually brilliant. placing an order is impossible right now. Loading, loading, loading, then it times out.",1789122900000,pending,chat
T-20194,anyax14@hotmail.com,Wrong order delivered,"Late, cold, and missing the sauce. Great. Refund please. Order was under anyax14@hotmail.com.",1789135410000,pending,chat
T-20195,omar_f70@outlook.com,Problem with the app since update,I love the restaurants on here but I literally cannot give you my money at the moment... Payment fails. Call me back on 07700 900238 please.,1789140240000,open,email
T-20196,keira1987@icloud.com,Refund request,Driver left the food at the wrong building. Won't be ordering again.,1789194085000,pending,web_form
T-20197,ivy_v66@yahoo.co.uk,Missing items,second time my order has gone to the wrong address. Third time this month. Call me back on 07700 900846 please.,1789196817000,closed,chat
T-20198,tara_l27@hotmail.com,Can't place an order,"Great restaurants, but the checkout is broken so what's the point. You can reach me on 07700 900696 or tara_l27@hotmail.com.",1789201620000,pending,chat
T-20199,tarax300@outlook.com,Delivery area question,How do I turn off marketing emails? Order was under tarax300@outlook.com.,1789208709000,closed,web_form
T-20200,emma.c@icloud.com,Payment failed at checkout,"Hey team, Promo applied, address fine, hit pay, nothing happens. Waited, tried again, 'payment could not be completed'.",1789215420000,pending,email
T-20201,rosa_s85@icloud.com,Group orders,Split the bill feature would be amazing.,1789228827000,pending,chat
T-20202,sofiax643@outlook.com,Order never went through,Installed the 4.2.1 update hoping it was fixed. It is not. Still can't pay !! Call me back on 07700 900541 please.,1789229100000,closed,email
T-20203,layla.d@yahoo.co.uk,How do I...,How do I turn off marketing emails?,1789229629000,open,web_form
T-20203,layla.d@yahoo.co.uk,How do I...,How do I turn off marketing emails?,1789229629000,open,web_form
T-20204,rosa_b69@gmail.com,Question about my account,How do I turn off marketing emails? Please look into it... Call me back on 07700 900320 please.,1789299237000,pending,email
T-20205,devx888@icloud.com,Problem with the app since update,"Honestly, google Pay says approved then the app says failed. Which one is it? Call me back on 07700 900214 please.",1789318200000,pending,chat
T-20206,anya_p51@yahoo.co.uk,Problem with the app since update,"checkout error code CHK-500 or something... No idea what it means, order didn't go through Love the app otherwise. Order was under anya_p51@yahoo.co.uk.",1789319640000,open,web_form
